"id" "name"
"1" 1 "HERBETOM BIOSERUM"
"2" 8306 "LLORENS"
"3" 16109 "AUROVITAS"
"4" 24042 "ALFASIGMA"
"5" 29320 "THERAMEX"
"6" 31982 "BIAL"
"7" 29118 "ESTEVE"
"8" 34517 "SIFI"
"9" 1000001 "HEALTHY DOCTORS"
"10" 36333 "ADVENTIA"
"11" 999 "HOLLISTER"
"12" 976 "COLOPLAST PRODUCTOS MEDICOS"
"13" 947 "MANUFACTURAS KURVAY"
"14" 8013 "ACTINIO LANTANO"
"15" 8002 "ATOS MEDICAL"
"16" 378 "BRAUN MEDICAL"
"17" 919 "TEXTIL ELASTICO"
"18" 881 "SMITH NEPHEW"
"19" 953 "INDAS"
"20" 8003 "KEYLAB MEDICAL"
"21" 898 "MÖLNLYCKE HEALTH CARE"
"22" 577 "HARTMANN"
"23" 8004 "BARNA IMPORT MEDICA"
"24" 8001 "URGO"
"25" 901 "IBERPOS"
"26" 985 "INTEX"
"27" 395 "MILO"
"28" 937 "ESSITY"
"29" 938 "JOSE MESTRE"
"30" 967 "TEJIDOS ELASTICOS ESTEBAN GALINDO"
"31" 935 "ORTOBOSAN"
"32" 751 "3M"
"33" 944 "TEJIDOS ELASTICOS LLOVERAS"
"34" 949 "JOVER SANITEX"
"35" 108 "COFAGA"
"36" 952 "INTERSAN"
"37" 963 "FORTIFLEX"
"38" 956 "HUELVA"
"39" 942 "ACOFARMA"
"40" 909 "MANUEL JOVAL PORTA"
"41" 981 "CERES COMERCIAL"
"42" 933 "ORT"
"43" 918 "CALCETERIAS SER SAN"
"44" 973 "COTOFARMA"
"45" 8008 "EXPANSION"
"46" 964 "FLEMING COMERCIAL"
"47" 991 "APOSITOS EGO"
"48" 959 "PATRICIO HELLIN CAPEL"
"49" 920 "RIBAS"
"50" 984 "CANTARELL CODINA"
"51" 912 "TEXTIL RIOJANA"
"52" 992 "APOSITOS DR CEA"
"53" 589 "VERKOS"
"54" 936 "MONTVIER"
"55" 957 "PEDRO HOMS"
"56" 908 "CONVATEC"
"57" 8010 "TORVAL MEDICA"
"58" 962 "GASPUNT"
"59" 372 "MARTINEZ LLENAS"
"60" 424 "NORD ADHE VEND ESPAR"
"61" 966 "FABRICA APOSITOS"
"62" 907 "VENTUBEL"
"63" 970 "DISTROMEF"
"64" 494 "SIGMA TAU"
"65" 965 "FASYOR"
"66" 924 "PRIM"
"67" 971 "DISTREX"
"68" 930 "ORTOPEDIA CENTRAL"
"69" 905 "COFARES"
"70" 945 "LORCA MEDICINA ORTOPEDIA"
"71" 921 "PORGES"
"72" 980 "EMES SOBRINOS CODINA"
"73" 925 "PASTOR COROMINAS JOSE"
"74" 974 "CORYSAN"
"75" 928 "ORTOPEDIA MOGAR"
"76" 8012 "JOLFAMAR XXI"
"77" 997 "ALBASA"
"78" 954 "IM MANUFACTURAS"
"79" 978 "TEXTIL PLANAS OLIVERAS"
"80" 996 "ALFASA"
"81" 922 "QUADRENY PAX"
"82" 8005 "ORTO LLOPAR"
"83" 958 "SSL HEALTHCARE BRANDS"
"84" 979 "CODORNIU GARRIGA"
"85" 1008 "BOEHRINGER INGELHEIM"
"86" 8020 "PEROXFARMA"
"87" 948 "CODIFARMA"
"88" 654 "GLAXOSMITHKLINE"
"89" 11 "ALDO UNION"
"90" 629 "VECTEM"
"91" 8006 "ACTIV MEDICAL DISPOSABLE"
"92" 987 "BATLLE BALLE"
"93" 982 "FRAMA"
"94" 934 "PROMECHI"
"95" 969 "PLASTICOS HOSPITALARIOS"
"96" 931 "ORTOVAL"
"97" 279 "INEXFA"
"98" 923 "CARDIOMEDICAL MEDITERRANEO"
"99" 913 "BARD"
"100" 972 "CHICCO"
"101" 998 "FARMAVARI"
"102" 951 "ONTEX ID"
"103" 902 "JUFRAMA"
"104" 977 "BERKSHIRE COORP"
"105" 695 "PROD QUIMI SEVILLANO"
"106" 943 "ORTOGRAS"
"107" 939 "JBJ EXCLUSIVAS"
"108" 680 "PALEX"
"109" 993 "GERIPROX"
"110" 960 "BGT"
"111" 8017 "GENEROS PUNTO GAVIOTA"
"112" 523 "NOVARTIS"
"113" 8016 "IZASA"
"114" 929 "ORTOPEDIA CIRUGIA"
"115" 861 "VEGAL"
"116" 983 "ONTEX PENINSULAR"
"117" 899 "APOSITOS VENEX"
"118" 904 "JOSE GARCIA DAVID GARCIA"
"119" 896 "DISFASAN"
"120" 8018 "DRYLOCK TECHNOLOGIES"
"121" 2599 "SEID"
"122" 895 "FRANCISCO CHINER"
"123" 8019 "WELLSPECT"
"124" 903 "TRUSETAL"
"125" 8015 "GESTION COMERCIAL FARMAUCO"
"126" 261 "VALEANT"
"127" 946 "EUROPROSAN"
"128" 961 "LAUCLAR"
"129" 897 "IGROBE RODAR 2001"
"130" 8000 "MEDICAL EQUIPMENT MANUFACTURERS"
"131" 810 "NEXIS"
"132" 2000280 "GREEN CORNERSS"
"133" 111 "CINFA"
"134" 2000281 "SAKURA"
"135" 2000282 "TELEFLEX MEDICAL"
"136" 2000283 "NEKKAR"
"137" 2000284 "AUDISTIMPHARMA"
"138" 2000285 "PROBIOFARMA CORPORATION"
"139" 821 "OZOAQUA"
"140" 2000274 "L'OREAL"
"141" 408 "DPSLAB"
"142" 2000286 "BROMATECH"
