"med" "estup_psicot"
"1" "NEPARVIS" FALSE
"2" "SILDENAFILO" FALSE
"3" "DONEPEZILO" FALSE
"4" "DABIGATRAN ETEXILATO" FALSE
"5" "RASAGILINA" FALSE
"6" "DEFERASIROX ABDI" FALSE
"7" "EVEROLIMUS" FALSE
"8" "ATORVASTATINA" FALSE
"9" "LEVETIRACETAM" FALSE
"10" "AMOXICILINA CLAVULANICO" FALSE
"11" "TRAMADOL PARACETAMOL" FALSE
"12" "DULOXETINA" FALSE
"13" "FUROSEMIDA" FALSE
"14" "RINOEBASTEL" FALSE
"15" "MINOXIDIL" FALSE
"16" "GLUCOSALINO" FALSE
"17" "ROCOZ" FALSE
"18" "VARDENAFILO TEVAGEN" FALSE
"19" "IMIKERADERM" FALSE
"20" "ADELAN" FALSE
"21" "EZETIMIBA ATORVASTATINA" FALSE
"22" "EUCREAS" FALSE
"23" "LORATADINA" FALSE
"24" "ROSUVASTATINA" FALSE
"25" "PREGABALINA" FALSE
"26" "CARNICOR" FALSE
"27" "TERBASMIN" FALSE
"28" "VALSARTAN HIDROCLOROTIAZIDA" FALSE
"29" "CILOSTAZOL" FALSE
"30" "FELIBEN" TRUE
"31" "SILODYX" FALSE
"32" "ATOMOXETINA" FALSE
"33" "RIXACAM" FALSE
"34" "MADOPAR" FALSE
"35" "AMLODIPINO" FALSE
"36" "GALANTAMINA" FALSE
"37" "OPENVAS" FALSE
"38" "IMATINIB" FALSE
"39" "NUCLEO CMP" FALSE
"40" "FLUTICASONA" FALSE
"41" "DORIMAN" FALSE
"42" "MIRAPEXIN" FALSE
"43" "VIAGRA" FALSE
"44" "QUETIAPINA" FALSE
"45" "SIMVASTATINA" FALSE
"46" "LOJUXTA" FALSE
"47" "OTOGEN CALMANTE" FALSE
"48" "PANTOPRAZOL" FALSE
"49" "JANUVIA" FALSE
"50" "NILOTINIB" FALSE
"51" "TADALAFILO" FALSE
"52" "DESARROL" FALSE
"53" "OXITRIL" FALSE
"54" "VALSARTAN" FALSE
"55" "ALNEO" FALSE
"56" "COLESVIR" FALSE
"57" "RUPAFIN" FALSE
"58" "PALIPERIDONA" FALSE
"59" "CARDYL" FALSE
"60" "FRAGMIN" FALSE
"61" "RIVASTIGMINA" FALSE
"62" "REUTENOX" FALSE
"63" "PRIMACOVID AUTODIAGNOSTICO" FALSE
"64" "AUTOTEST" FALSE
"65" "FOSFOMICINA" FALSE
"66" "CLOPIDOGREL" FALSE
"67" "KYNMOBI" FALSE
"68" "FLUMIL" FALSE
"69" "ONTOZRY" FALSE
"70" "DAPAROX" FALSE
"71" "CLEXANE" FALSE
"72" "MELOXICAM" FALSE
"73" "CITALOPRAM" FALSE
"74" "FLUCONAZOL" FALSE
"75" "LOETTE" FALSE
"76" "IBANDRONICO" FALSE
"77" "FLUOXETINA" FALSE
"78" "ZYRTEC" FALSE
"79" "PALGESIC" TRUE
"80" "VARIVAX DISOLVENTE" FALSE
"81" "MICOFENOLATO MOFETILO" FALSE
"82" "FINASTERIDA" FALSE
"83" "PULMICORT TURBUHALER" FALSE
"84" "BRONCORAL" FALSE
"85" "TOPIRAMATO" FALSE
"86" "LANSOPRAZOL" FALSE
"87" "IBUPROFENO" FALSE
"88" "ASTEFOR" TRUE
"89" "NORMOFLUDIL" FALSE
"90" "ARICEPT" FALSE
"91" "ESCITALOPRAM GENERICOS" FALSE
"92" "COLIRCUSI DEXAMETASONA" FALSE
"93" "DONEPEZILO MEMANTINA" FALSE
"94" "SERTRALINA" FALSE
"95" "IRBESARTAN HIDROCLOROTIAZIDA" FALSE
"96" "COLIRCUSI PILOCARPINA" FALSE
"97" "RISPERIDONA" FALSE
"98" "SANDIMMUN NEORAL" FALSE
"99" "PRAVASTATINA" FALSE
"100" "GALNORA" FALSE
"101" "LOSARTAN" FALSE
"102" "DRETINE" FALSE
"103" "CYMBALTA" FALSE
"104" "MIRTAZAPINA" FALSE
"105" "CAPTOR" FALSE
"106" "ACETILSALICILICO" FALSE
"107" "SINEMET" FALSE
"108" "PRADAXA" FALSE
"109" "EXFORGE" FALSE
"110" "MENADERM NEOMICINA" FALSE
"111" "TEDIPRIMA" FALSE
"112" "LIOFORA" FALSE
"113" "AJOVY" FALSE
"114" "GLIMEPIRIDA" FALSE
"115" "CANDESARTAN HIDROCLOROTIAZIDA" FALSE
"116" "TRAMADOL" FALSE
"117" "ARCOXIA" FALSE
"118" "DICLOFENACO" FALSE
"119" "PAROXETINA" FALSE
"120" "RAMIPRIL" FALSE
"121" "ACICLOVIR" FALSE
"122" "EBASTINA" FALSE
"123" "NICORETTE CLEAR" FALSE
"124" "CODIOVAN" FALSE
"125" "NORFLOXACINO" FALSE
"126" "CLOBEX" FALSE
"127" "OLANZAPINA" FALSE
"128" "VESUROL" FALSE
"129" "COMPETACT" FALSE
"130" "VISPRING" FALSE
"131" "PARACETAMOL" FALSE
"132" "METHOFILL" FALSE
"133" "CINFAMAR" FALSE
"134" "OCTREOTIDA" FALSE
"135" "ACOMICIL" FALSE
"136" "ONDANSETRON" FALSE
"137" "XERISTAR" FALSE
"138" "SUERO FISIOLOGICO VITULIA" FALSE
"139" "COVALS" FALSE
"140" "ZALDIAR" FALSE
"141" "LYRICA" FALSE
"142" "ESOMEPRAZOL TEVAGEN" FALSE
"143" "CODEISAN" TRUE
"144" "PARIET" FALSE
"145" "CLARITROMICINA" FALSE
"146" "CADUET" FALSE
"147" "PLAVIX" FALSE
"148" "OMEPRAZOL" FALSE
"149" "ELIDEL" FALSE
"150" "ALPRAZOLAM" TRUE
"151" "ENANDOL" FALSE
"152" "REQUIP" FALSE
"153" "FENTANILO MATRIX" TRUE
"154" "ZOMIG" FALSE
"155" "AZITROMICINA" FALSE
"156" "MAVIRET" FALSE
"157" "REQUIPPROLIB" FALSE
"158" "PRAMIPEXOL" FALSE
"159" "ALENDRONICO COLECALCIFEROL TEVAGEN" FALSE
"160" "DIAZEPAN PRODES" TRUE
"161" "FILSUVEZ" FALSE
"162" "ZOVICREM" FALSE
"163" "ETORICOXIB" FALSE
"164" "LOSARTAN HIDROCLOROTIAZIDA" FALSE
"165" "ACEOTO" FALSE
"166" "IRBESARTAN" FALSE
"167" "PROFER" FALSE
"168" "ADOLONTA" FALSE
"169" "ATOZET" FALSE
"170" "DETRUSITOL" FALSE
"171" "RISTFOR" FALSE
"172" "NOREBOX" FALSE
"173" "POTASION" FALSE
"174" "BEGLAN" FALSE
"175" "PROGEVERA" FALSE
"176" "ADOPORT" FALSE
"177" "FEBUXOSTAT" FALSE
"178" "OXICODONA" TRUE
"179" "DROSIANE" FALSE
"180" "YASMIN" FALSE
"181" "AMGEVITA" FALSE
"182" "OLMESARTAN" FALSE
"183" "ALCOTINA" FALSE
"184" "BISOPROLOL" FALSE
"185" "CAPENON" FALSE
"186" "OLMESARTAN HIDROCLOROTIAZIDA" FALSE
"187" "TAVNEOS" FALSE
"188" "ESCITALOPRAM" FALSE
"189" "CAMZYOS" FALSE
"190" "ARIPIPRAZOL TEVAGEN" FALSE
"191" "PERINDOPRIL" FALSE
"192" "METFORMINA" FALSE
"193" "HYRIMOZ" FALSE
"194" "MYSOLINE" FALSE
"195" "NEXIUM MUPS" FALSE
"196" "VEROLAX" FALSE
"197" "MEMANTINA" FALSE
"198" "HIBOR" FALSE
"199" "OXICODONA NALOXONA" TRUE
"200" "TYVERB" FALSE
"201" "BIPRETERAX" FALSE
"202" "NAPROXENO SODICO" FALSE
"203" "TARGIN" TRUE
"204" "REPAGLINIDA" FALSE
"205" "MONTELUKAST" FALSE
"206" "CELEBREX" FALSE
"207" "COLCHIMAX" FALSE
"208" "CLOPERASTINA" FALSE
"209" "DIAZEPAM" TRUE
"210" "RABEPRAZOL" FALSE
"211" "REAGILA" FALSE
"212" "COLIRCUSI GENTADEXA" FALSE
"213" "YASNAL" FALSE
"214" "CAPENON HCT" FALSE
"215" "TOBRABACT" FALSE
"216" "LIVAZO" FALSE
"217" "LOBIVON" FALSE
"218" "SOOLANTRA" FALSE
"219" "DOLOLAVI" FALSE
"220" "OESTRACLIN" FALSE
"221" "STOPCOLD" FALSE
"222" "MULPLEO" FALSE
"223" "SEVREDOL" TRUE
"224" "RUPATADINA" FALSE
"225" "METOJECT" FALSE
"226" "BEMOLAN" FALSE
"227" "CARVEDILOL" FALSE
"228" "CIRCLET" FALSE
"229" "CANDESARTAN" FALSE
"230" "ACUOLENS" FALSE
"231" "PROGEFFIK" FALSE
"232" "TACROLIMUS" FALSE
"233" "YODOCEFOL" FALSE
"234" "TOLTERODINA" FALSE
"235" "PALEXIA" TRUE
"236" "TAIOMA" TRUE
"237" "COMBIPRASAL" FALSE
"238" "BYANNLI" FALSE
"239" "ZOLAFREN" FALSE
"240" "ZASTEN" FALSE
"241" "STEQEYMA" FALSE
"242" "PITAVASTATINA" FALSE
"243" "LETROZOL" FALSE
"244" "BALZAK" FALSE
"245" "TRANKIMAZIN" TRUE
"246" "ESOMEPRAZOL" FALSE
"247" "MEDIKINET" TRUE
"248" "AMOROLFINA" FALSE
"249" "TAMIFLU" FALSE
"250" "NORVECTAN" FALSE
"251" "TADALAFILO ABDI" FALSE
"252" "AMOXICILINA ARDINE" FALSE
"253" "FESOTERODINA" FALSE
"254" "DEFLAZACORT" FALSE
"255" "ACTIQ" TRUE
"256" "ROSUVASTATINA EZETIMIBA" FALSE
"257" "ACOVIL" FALSE
"258" "CINFATOS" FALSE
"259" "GLUCOSA" FALSE
"260" "TRIALMIN" FALSE
"261" "GALOTAM" FALSE
"262" "HALOPERIDOL PRODES" FALSE
"263" "MOVICOL" FALSE
"264" "PROCAINA" FALSE
"265" "ATENZA" TRUE
"266" "JALRA" FALSE
"267" "CARBON" FALSE
"268" "LEFLUNOMIDA" FALSE
"269" "CLORAZEPATO" TRUE
"270" "PREDNISONA" FALSE
"271" "BETAMICOTER" FALSE
"272" "BILINA" FALSE
"273" "PROPALCOF" FALSE
"274" "CEFIXIMA" FALSE
"275" "ACETILCISTEINA" FALSE
"276" "INEGY" FALSE
"277" "LERCANIDIPINO" FALSE
"278" "VYTORIN" FALSE
"279" "DESLORATADINA" FALSE
"280" "ZALAIN" FALSE
"281" "VARDENAFILO" FALSE
"282" "CEFTAZIDIMA" FALSE
"283" "LEVOCETIRIZINA" FALSE
"284" "LAMOTRIGINA" FALSE
"285" "PARACETAMOL BENEL" FALSE
"286" "SPRYCEL" FALSE
"287" "CORLENTOR" FALSE
"288" "TELMISARTAN HIDROCLOROTIAZIDA TEVAGEN" FALSE
"289" "COLIROFTA TROPICAMIDA" FALSE
"290" "VENLAFAXINA" FALSE
