"product_id" "laboratory_id" "laboratory_name" "nationalCode" "denomination" "presentation" "presentation2" "contenido" "forma" "forma2" "concentracion" "masa_dimension" "volumen" "name" "presentation3"
5337 919 "TEXTIL ELASTICO, S.L." "401141" "MEDILAST 501 TALLA MEDIANA-1" "MEDILAST 501 TALLA MEDIANA 1 MEDIAS ET CINT COMPRIMIDOS FUERTE" "MEDILAST 501 TALLA MEDIANA 1 MEDIAS ET CINT FUERTE" NA "COMPRIMIDOS" NA NA NA NA "TEXTIL ELASTICO" "MEDILAST 501 TALLA MEDIANA 1 MEDIAS ET CINT FUERTE"
5339 919 "TEXTIL ELASTICO, S.L." "401166" "MEDILAST 501 TALLA MEDIANA-3" "MEDILAST 501 TALLA MEDIANA 3 MEDIAS ET CINT COMPRIMIDOS FUERTE" "MEDILAST 501 TALLA MEDIANA 3 MEDIAS ET CINT FUERTE" NA "COMPRIMIDOS" NA NA NA NA "TEXTIL ELASTICO" "MEDILAST 501 TALLA MEDIANA 3 MEDIAS ET CINT FUERTE"
2566 2000183 "PHIDINUT,S.L" "179060" "HUMECTULAR 30 COMP" "HUMECTULAR 30 COMPRIMIDOS" "HUMECTULAR" " 30 COMPRIMIDOS" NA NA NA NA NA "PHIDINUT" "HUMECTULAR"
1583 2000162 "LACTALIS NUTRICION IBERIA,S.L." "171753" "DAMIRA AR 800 GRAMOS" "DAMIRA AR 800 G" "DAMIRA AR" NA NA NA NA "800 G" NA "LACTALIS NUTRICION" "DAMIRA AR"
2839 2000087 "ALCHEMLIFE IBERIA SLU" "197523" "LAXAQUEST 30 CAPSULAS" "LAXAQUEST 30 CAPSULAS" "LAXAQUEST" " 30 CAPSULAS" NA NA NA NA NA "ALCHEMLIFE" "LAXAQUEST"
425 2000032 "PHARMA NORD, SL" "199866" "ACTIVECOMPLEX VITAMINA D FORTE 80 PERLAS" "ACTIVECOMPLEX VITAMINA D FORTE 80 PERLAS" "ACTIVECOMPLEX VITAMINA D FORTE" " 80 PERLAS" NA NA NA NA NA "NORD" "ACTIVECOMPLEX VITAMINA D FORTE"
427 2000033 "ATIKA PHARMA, S.L." "205216" "ACTUA SUERO ORAL FRESA 3X200 ML" "ACTUA SUERO ORAL FRESA 3 X 200 ML" "ACTUA SUERO FRESA L" NA "ORAL" NA NA "3 X 200 M" NA "ATIKA" "ACTUA SUERO FRESA L"
513 2000055 "DANONE NUTRICIA, S.R.L." "195058" "ALMIRON AR 1 800 GR" "ALMIRON AR 1 800 G" "ALMIRON AR 1" NA NA NA NA "800 G" NA "DANONE NUTRICIA" "ALMIRON AR 1"
10238 821 "OZOAQUA" "168728" "CREMA CORPORAL " "CREMA CORPORAL ACEITE OZONIZADO OZOAQUA 200 ML" "CORPORAL ACEITE OZONIZADO" NA "CREMA" NA NA NA " 200 ML" "OZOAQUA" "CORPORAL ACEITE OZONIZADO"
11544 2000274 "L'ORÉAL" "264258" "PURETE THERMALE DESMAQUILLANTE 3 EN 1 " "PURETE THERMALE DESMAQUILLANTE 3 1 300 ML VICHY" "PURETE THERMALE DESMAQUILLANTE 3 VICHY" NA NA NA NA NA "1 300 ML" "L'OREAL" "PURETE THERMALE DESMAQUILLANTE 3"
2916 2000001 "NUTRICION CENTER NC S.L.U." "169386" "LIPOCROM 100 20 CAPSULAS" "LIPOCROM 100 20 CAPSULAS" "LIPOCROM" "100 20 CAPSULAS" NA NA NA NA NA "NUTRICION CENTER NC" "LIPOCROM"
2930 2000087 "ALCHEMLIFE IBERIA SLU" "197271" "LIVERUBIN 30 CAPSULAS" "LIVERUBIN 30 CAPSULAS" "LIVERUBIN" " 30 CAPSULAS" NA NA NA NA NA "ALCHEMLIFE" "LIVERUBIN"
2932 2000036 "BIOKSAN PHARMA,S.L" "205131" "LIVEX 30 CAPSULAS" "LIVEX 30 CAPSULAS" "LIVEX" " 30 CAPSULAS" NA NA NA NA NA "BIOKSAN" "LIVEX"
2935 2000055 "DANONE NUTRICIA, S.R.L." "268698" "LOCASOL FORMULA 400 G BOTE" "LOCASOL FORMULA 400 G BOTE" "LOCASOL FORMULA BOTE" NA NA NA NA "400 G" NA "DANONE NUTRICIA" "LOCASOL FORMULA BOTE"
11715 2000274 "L'ORÉAL" "322361" "MINÉRAL 89 SÉRUM " "MINERAL 89 SERUM 75 ML VICHY" "MINERAL 89 SERUM VICHY" NA NA NA NA NA " 75 ML" "L'OREAL" "MINERAL 89 SERUM"
2937 2000063 "MEDICAL, SA" "186695" "LONGIVOL 60 CAPSULAS" "LONGIVOL 60 CAPSULAS" "LONGIVOL" " 60 CAPSULAS" NA NA NA NA NA "MEDICAL" "LONGIVOL"
2939 2000055 "DANONE NUTRICIA, S.R.L." "180216" "LOPROFIN BARQUILLOS CHOCOLATE 12X100 G." "LOPROFIN BARQUILLOS CHOCOLATE 12 X 100 G" "LOPROFIN BARQUILLOS CHOCOLATE" " 12 X 100 G" NA NA NA NA NA "DANONE NUTRICIA" "LOPROFIN BARQUILLOS CHOCOLATE"
2942 2000055 "DANONE NUTRICIA, S.R.L." "325936" "LOPROFIN BARQUILLOS VAINILLA 12X100 G." "LOPROFIN BARQUILLOS VAINILLA 12 X 100 G" "LOPROFIN BARQUILLOS VAINILLA" " 12 X 100 G" NA NA NA NA NA "DANONE NUTRICIA" "LOPROFIN BARQUILLOS VAINILLA"
2945 2000055 "DANONE NUTRICIA, S.R.L." "325928" "LOPROFIN COOKIES CON CHOCOLATE 12X100 G." "LOPROFIN COOKIES CHOCOLATE 12 X 100 G" "LOPROFIN COOKIES CHOCOLATE" " 12 X 100 G" NA NA NA NA NA "DANONE NUTRICIA" "LOPROFIN COOKIES CHOCOLATE"
11762 2000274 "L'ORÉAL" "155581" "NORMADERM GEL LIMPIADOR PURIFICANTE" "NORMADERM GEL LIMPIADOR PURIFICANTE 400 ML VICHY" "NORMADERM LIMPIADOR PURIFICANTE VICHY" NA "GEL" NA NA NA " 400 ML" "L'OREAL" "NORMADERM LIMPIADOR PURIFICANTE"
3025 2000113 "BIO3 ESPAÑA, S.L." "316687" "MANASUL SUAVE INFUSION 25 UND." "MANASUL SUAVE INFUSION 25 UND" "MANASUL SUAVE INFUSION 25 UND" NA NA NA NA NA NA "BIO3" "MANASUL SUAVE INFUSION 25 UND"
3027 2000166 "DC PHARM,S.L.U." "193575" "MANASUL TILA 25 FILTROS" "MANASUL TILA 25 FILTROS" "MANASUL TILA 25 FILTROS" NA NA NA NA NA NA "DC PHARM" "MANASUL TILA 25 FILTROS"
11792 2000274 "L'ORÉAL" "315864" "NEOVADIOL PERIMENOPAUSIA OJOS" "NEOVADIOL PERIMENOPAUSIA OJOS 15 ML VICHY" "NEOVADIOL PERIMENOPAUSIA OJOS VICHY" NA NA NA NA NA " 15 ML" "L'OREAL" "NEOVADIOL PERIMENOPAUSIA OJOS"
11795 2000274 "L'ORÉAL" "305358" "VICHY HOMME SENSI BAUME AFTER SHAVE CALMANTE " "VICHY HOMME SENSI BAUME AFTER SHAVE CALMANTE 75 ML VICHY" "VICHY HOMME SENSI BAUME AFTER SHAVE CALMANTE VICHY" NA NA NA NA NA " 75 ML" "L'OREAL" "HOMME SENSI BAUME AFTER SHAVE CALMANTE"
11784 2000274 "L'ORÉAL" "186287" "VICHY HOMME HYDRA COOL " "VICHY HOMME HYDRA COOL 50 ML VICHY" "VICHY HOMME HYDRA COOL VICHY" NA NA NA NA NA " 50 ML" "L'OREAL" "HOMME HYDRA COOL"
11810 2000274 "L'ORÉAL" "256958" "DERMABLEND FLUIDO Nº 55 BRONZE" "DERMABLEND FLUIDO N 55 BRONZE 30 ML VICHY" "DERMABLEND FLUIDO N 55 BRONZE VICHY" NA NA NA NA NA " 30 ML" "L'OREAL" "DERMABLEND FLUIDO N 55 BRONZE"
11807 2000274 "L'ORÉAL" "163411" "DEO BOLA STRESS RESIST 72H " "DEO BOLA STRESS RESIST 72 H 50 ML VICHY" "DEO BOLA STRESS RESIST 72 H VICHY" NA NA NA NA NA " 50 ML" "L'OREAL" "DEO BOLA STRESS RESIST 72 H"
11817 2000274 "L'ORÉAL" "174387" "DERCOS CHAMPÚ ANTICASPA CABELLOS GRASOS" "DERCOS CHAMPU ANTICASPA CABELLOS GRASOS 400 ML VICHY" "DERCOS ANTICASPA CABELLOS GRASOS VICHY" NA "CHAMPU" NA NA NA " 400 ML" "L'OREAL" "DERCOS ANTICASPA CABELLOS GRASOS"
11824 2000274 "L'ORÉAL" "157966" "CAPITAL SOLEIL LECHE AFTERSUN " "CAPITAL SOLEIL LECHE AFTERSUN 300 ML VICHY" "CAPITAL SOLEIL LECHE AFTERSUN VICHY" NA NA NA NA NA " 300 ML" "L'OREAL" "CAPITAL SOLEIL LECHE AFTERSUN"
5335 919 "TEXTIL ELASTICO, S.L." "401125" "MEDILAST 501 TALLA PEQUEÑA-2" "MEDILAST 501 TALLA PEQUEÑA 2 MEDIAS ET CINT COMPRIMIDOS FUERTE" "MEDILAST 501 TALLA PEQUEÑA 2 MEDIAS ET CINT FUERTE" NA "COMPRIMIDOS" NA NA NA NA "TEXTIL ELASTICO" "MEDILAST 501 TALLA PEQUEÑA 2 MEDIAS ET CINT FUERTE"
11836 2000274 "L'ORÉAL" "322397" "DERCOS CHAMPÚ KERA SOLUTIONS " "DERCOS CHAMPU KERA SOLUTIONS 250 ML VICHY" "DERCOS KERA VICHY" NA "CHAMPU" NA NA NA " 250 ML" "L'OREAL" "DERCOS KERA"
11837 2000274 "L'ORÉAL" "322398" "DERCOS MASCARILLA KERA SOLUTIONS " "DERCOS MASCARILLA KERA SOLUTIONS 200 ML VICHY" "DERCOS MASCARILLA KERA VICHY" NA NA NA NA NA " 200 ML" "L'OREAL" "DERCOS MASCARILLA KERA"
11839 2000274 "L'ORÉAL" "180362" "AMINEXIL *21 HOMBRE" "AMINEXIL 21 HOMBRE VICHY" "AMINEXIL 21 HOMBRE VICHY" NA NA NA NA NA NA "L'OREAL" "AMINEXIL 21 HOMBRE"
11827 2000274 "L'ORÉAL" "165839" "DEO BOLA VERDE REGULADOR 48H ANTIMARCAS" "DEO BOLA VERDE REGULADOR 48 H ANTIMARCAS 50 ML VICHY" "DEO BOLA VERDE REGULADOR 48 H ANTIMARCAS VICHY" NA NA NA NA NA " 50 ML" "L'OREAL" "DEO BOLA VERDE REGULADOR 48 H ANTIMARCAS"
11842 2000274 "L'ORÉAL" "154985" "CAPITAL SOLEIL LECHE FAMILIAR SPF 30 " "CAPITAL SOLEIL LECHE FAMILIAR SPF30 300 ML VICHY" "CAPITAL SOLEIL LECHE FAMILIAR SPF VICHY" NA NA NA NA NA "30 300 ML" "L'OREAL" "CAPITAL SOLEIL LECHE FAMILIAR SPF"
3032 2000000 "SORIA NATURAL SA" "102576" "MANZANILLA AMARGA BOLSA SORIA 40 GR" "MANZANILLA AMARGA BOLSA SORIA 40 G" "MANZANILLA AMARGA BOLSA" NA NA NA NA "40 G" NA "SORIA NATURAL" "MANZANILLA AMARGA BOLSA"
3034 2000074 "PRODUCTOS MACOESA, S.A." "362442" "MANZANILLA AMARGA CARABELA INFUSION 10 U" "MANZANILLA AMARGA CARABELA INFUSION 10 UNIDADES" "MANZANILLA AMARGA CARABELA INFUSION" " 10 UNIDADES" NA NA NA NA NA "PRODUCTOS MACOESA" "MANZANILLA AMARGA CARABELA INFUSION"
3036 2000113 "BIO3 ESPAÑA, S.L." "123399" "MANZANILLA ANIS LEONESA 10BOLS" "MANZANILLA ANIS LEONESA 10 BOLS" "MANZANILLA ANIS LEONESA 10 BOLS" NA NA NA NA NA NA "BIO3" "MANZANILLA ANIS LEONESA 10 BOLS"
3038 2000074 "PRODUCTOS MACOESA, S.A." "362426" "MANZANILLA CARABELA DULCE INFUSION 10 UN" "MANZANILLA CARABELA DULCE INFUSION 10" "MANZANILLA CARABELA DULCE INFUSION 10" NA NA NA NA NA NA "PRODUCTOS MACOESA" "MANZANILLA CARABELA DULCE INFUSION 10"
