"id","code","nationalCode","denomination","presentation","description","ingredients","class","steril","healthIndications","indications","function","howToUse","cautionsWarnings","pao","foodIntolerance","useIndications","lactose","gluten","bio","dietary","vegetarian","heightMeasure","widthMeasure","weight","weightWithContain","images","referenceLink","tags","status","category_id","source"
12643,"3461020002462",,ACEITE SOLAR SOL MODERADO,ACEITE SOLAR SOL MODERADO 150ML (INSTITUT ESTHEDERM),Aceite solar protector y bronceador natural altamente nutritivo. Protege la piel y el cabello del envejecimiento y la sequedad del sol moderado. ,"DIBUTYL ADIPATE, DICAPRYLYL ETHER, HOMOSALATE, ETHYLHEXYL METHOXYCRYLENE, ETHYLHEXYL SALICYLATE, BUTYL METHOXYDIBENZOYLMETHANE, ORYZA SATIVA (RICE) BRAN OIL, LIMNANTHES ALBA (MEADOWFOAM) SEED OIL, BUTYLOCTYL SALICYLATE, BENZOTRIAZOLYL DODECYL P-CRESOL, FRAGRANCE (PARFUM), OLEOYL TYROSINE, TOCOPHERYL ACETATE, STEARYL GLYCYRRHETINATE, LUFFA CYLINDRICA SEED OIL, OLEIC ACID, LINALOOL, HEXYL CINNAMAL, DIHYDROXY METHYLCHROMONYL PALMITATE, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, HYDROXYCITRONELLAL, LIMONENE, BENZYL BENZOATE, GERANIOL, TOCOPHEROL, CITRONELLOL, ISOEUGENOL, COUMARIN, CITRAL, BENZYL SALICYLATE. [ES806]",,false,"","",Pulverizar sobre el cuerpo 20 minutos antes de la exposición solar. Renovar la aplicación cada 2 horas. También se puede aplicar como protector capilar. ,Pulverizar sobre el cuerpo 20 minutos antes de la exposición solar. Renovar la aplicación cada 2 horas. También se puede aplicar como protector capilar. ,,,false,,false,false,false,false,false,,,,,{https://www.esthederm.es/media/catalog/product/cache/8c584b496a6ba3b56e5a2a84e5c8da1d/1/2/122592-05v458003-jpg_up8v2m8imbdakwwz.jpg},{},{},true,1,discovery
13003,"8470001678195","167819","ACOFAR ESPARADRAPO TEJIDO BLANCO 5X2,5CM","ACOFAR ESPARADRAPO TEJIDO BLANCO 5X2,5 CM","Esparadrapo de tejido blanco, ideal para la fijación de gasas y vendajes, resistente y amigable con la piel.",,,false,,"","",,,,false,,false,false,false,false,false,"33","65","50",,{https://www.acofarma.com/catalogo/wp-content/uploads/sites/2/2019/03/1532497_esparadrapo-600x600.jpg},{https://www.acofarma.com/catalogo/producto/acofar-esparadrapo-tejido/},{},true,6,discovery
13132,"8470002042742","204274",ACOFAR NESIRA JARABE TOS 150 ML,ACOFAR NESIRA JARABE TOS 150 ML,,,,false,"",,"",,,,false,,false,false,false,false,false,,,,,{},{},{},true,10,herboristeria
13166,"8470002089396","208939",ACOF. NESIRA DOLOR GARGANTA 20 CO CHUPAR,ACOF. NESIRA DOLOR GARGANTA 20 CO CHUPAR,,,,false,"",,"",,,,false,,false,false,false,false,false,,,,,{},{},{},true,10,herboristeria
12994,"8470001618597","161859",ACOFAR NESIRA ANTICAIDA FORTE 60 COMPR,ACOFAR NESIRA ANTICAIDA FORTE 60 COMPR,,,,false,"",,"",,,,false,,false,false,false,false,false,,,,,{},{},{},true,10,herboristeria
13063,"8470001849274","184927",ACOFAR NESIRA SUEÑO 30 COMP,ACOFAR NESIRA SUEÑO 30 COMP,,,,false,"",,"",,,,false,,false,false,false,false,false,,,,,{},{},{},true,10,herboristeria
13010,"8470001721044","172104",ACOFAR NESIRA MELATONINA 60 COMPR,ACOFAR NESIRA MELATONINA 60 COMPR,,,,false,"",,"",,,,false,,false,false,false,false,false,,,,,{},{},{},true,10,herboristeria
11868,"08470002127517","212751",REFORVIT HOMBRE,REFORVIT HOMBRE - 45 CAPSULAS,,,,false,"",,"",,,,false,,false,false,false,false,false,,,,,{},{},{},true,2,""
11869,"08470002157163","215716",REFORVIT HOMBRE,REFORVIT HOMBRE - 90 CAPSULAS,,,,false,"",,"",,,,false,,false,false,false,false,false,,,,,{},{},{},true,2,""
11870,"08470002127524","212752",REFORVIT HOMBRE +50,REFORVIT HOMBRE +50 - 45 CAPSULAS,,,,false,"",,"",,,,false,,false,false,false,false,false,,,,,{},{},{},true,2,""
11871,"08470002127487","212748",REFORVIT MUJER ,REFORVIT MUJER - 45 CAPSULAS,,,,false,"",,"",,,,false,,false,false,false,false,false,,,,,{},{},{},true,2,""
